fips_code,county_name,state_code,treated,treated_match,control_match,state_border_id,cluster_id,bop_mw,match_amt_ch,match_ch_date,population,lat,long,dist_to_border
06049,Modoc,CA,1,CA,NV,CA-NV,Lassen CA,8,1,201407,9686,41.522584,-120.650911,32.71209307829591
06035,Lassen,CA,1,CA,NV,CA-NV,Lassen CA,8,1,201407,34895,40.392397,-120.579176,30.56136111928024
32031,Washoe,NV,0,CA,NV,CA-NV,Lassen CA,8.25,1,201407,421407,39.535558,-119.795493,10.891623399003795
06091,Sierra,CA,1,CA,NV,CA-NV,Lassen CA,8,1,201407,3240,39.612588,-120.414236,22.095935348811853
06061,Placer,CA,1,CA,NV,CA-NV,Placer CA,8,1,201407,348432,38.844511,-121.182466,64.53613120615078
32510,Carson City,NV,0,CA,NV,CA-NV,Placer CA,8.25,1,201407,55274,39.166134,-119.753711,13.210132826535347
06057,Nevada,CA,1,CA,NV,CA-NV,Placer CA,8,1,201407,98764,39.219524,-120.916546,49.12457590756657
06017,El Dorado,CA,1,CA,NV,CA-NV,El Dorado CA,8,1,201407,181058,38.746543,-120.74433,43.74974414982307
32005,Douglas,NV,0,CA,NV,CA-NV,El Dorado CA,8.25,1,201407,46997,38.956913,-119.755928,6.709466537606044
06003,Alpine,CA,1,CA,NV,CA-NV,El Dorado CA,8,1,201407,1175,38.728298,-119.847603,8.296777303794064
06051,Mono,CA,1,CA,NV,CA-NV,Mono CA,8,1,201407,14202,37.763322,-118.970594,25.622739120092213
32019,Lyon,NV,0,CA,NV,CA-NV,Mono CA,8.25,1,201407,51980,39.34878,-119.325133,36.08588356317413
32021,Mineral,NV,0,CA,NV,CA-NV,Mono CA,8.25,1,201407,4772,38.590037,-118.638693,28.812168445355955
06027,Inyo,CA,1,CA,NV,CA-NV,Inyo CA,8,1,201407,18546,37.160247,-118.267513,30.850113555933547
32009,Esmeralda,NV,0,CA,NV,CA-NV,Inyo CA,8.25,1,201407,783,37.708803,-117.677756,19.02301236970679
32023,Nye,NV,0,CA,NV,CA-NV,Inyo CA,8.25,1,201407,43946,36.468656,-116.165792,13.669637029023235
06071,San Bernardino,CA,1,CA,NV,CA-NV,San Bernardino CA,8,1,201407,2035210,34.190248,-117.357474,147.02987830136723
32003,Clark,NV,0,CA,NV,CA-NV,San Bernardino CA,8.25,1,201407,1951269,36.143366,-115.14994,23.35134402977883
26053,Gogebic,MI,1,MI,WI,MI-WI,Gogebic MI,7.4,0.75,201409,16427,46.435975,-89.978538,5.934325146472569
55051,Iron,WI,0,MI,WI,MI-WI,Gogebic MI,7.25,0.75,201409,5916,46.353147,-90.196635,5.033116519596709
55125,Vilas,WI,0,MI,WI,MI-WI,Gogebic MI,7.25,0.75,201409,21430,45.984593,-89.499417,14.932620811826734
26071,Iron,MI,1,MI,WI,MI-WI,Iron MI,7.4,0.75,201409,11817,46.098021,-88.534279,5.821636763451122
